t_sec,force_x,force_y,force_z,torque_x,torque_y,torque_z,imputed,trial_id,smoothed_sigma_s
6.736,1.4163959023223416e-188,4.927017973295086e-138,1.5507648056122753e-130,-1.86547074370614e-60,-5.3160740119905425e-90,-4.478805362449745e-75,0,pressure_servo_20250708_145013.db3_export,0.05
6.786,2.335242020031313e-188,3.9462858320559376e-139,2.556778920866108e-130,-8.360459843103228e-60,-2.382499079671986e-89,-2.0072613041062536e-74,0,pressure_servo_20250708_145013.db3_export,0.05
6.836,1.416395881985757e-188,3.3332128507978994e-124,1.5507648056122753e-130,-1.3784067976158558e-59,-3.928076910083149e-89,-3.309414407933259e-74,0,pressure_servo_20250708_145013.db3_export,0.05
6.886,1.3581773565310664e-76,4.0606845424584623e-123,3.4602239942881573e-131,-8.360459843103228e-60,-2.382499079675692e-89,-2.0072613041062536e-74,0,pressure_servo_20250708_145013.db3_export,0.05
6.936,1.6545987443503927e-75,1.8198725532026807e-122,2.8403248180952493e-132,-1.86547074370614e-60,-5.316074012016056e-90,-4.478805362449745e-75,0,pressure_servo_20250708_145013.db3_export,0.05
6.986,7.41539710835024e-75,3.000462588428612e-122,8.09871874488005e-212,-1.5312716343004194e-61,-4.363699279609212e-91,-3.6764273201339775e-76,0,pressure_servo_20250708_145013.db3_export,0.05
7.036,1.2225922943225265e-74,1.8198725532026807e-122,1.8070684105421768e-212,9.7197130863936e-106,3.807625389592596e-137,4.9178667052590476e-76,0,pressure_servo_20250708_145013.db3_export,0.05
7.086,-23103.2029413295,4.060684542458462e-123,1.4833320799264553e-213,3.2304896037175118e-99,4.6386373320274516e-136,5.991188143636305e-75,0,pressure_servo_20250708_145013.db3_export,0.05
7.136,-281454.6303056534,-6.018573235970352e-103,1.1608828998034756e-233,3.9357882317186486e-98,2.0788930237555062e-135,2.6850642421673826e-74,0,pressure_servo_20250708_145013.db3_export,0.05
7.186,-1261392.1404368873,-7.332123209926039e-102,-8.776156871753722e-194,1.7640877229309546e-97,6.970238576798638e-17,4.426922529257684e-74,0,pressure_servo_20250708_145013.db3_export,0.05
7.236,-2079684.05263226,-3.2860296452297567e-101,-1.0691547808832602e-192,2.9093396377268837e-97,8.49148893665118e-16,2.6850642421673826e-74,0,pressure_servo_20250708_145013.db3_export,0.05
7.286,-1261392.1404368873,-5.417746972241497e-101,-4.790569122088671e-192,1.7660062331590108e-97,3.805621315828619e-15,-2.0372604700202328e-58,0,pressure_servo_20250708_145013.db3_export,0.05
7.336,-281454.6303056534,-1.565923329392026e-84,1.1000118848748598e-133,3.948999391775605e-98,6.2744088116364544e-15,-2.481891337240141e-57,0,pressure_servo_20250708_145013.db3_export,0.05
