t_sec,angular_x,angular_y,angular_z,linear_x,linear_y,linear_z,imputed,trial_id,smoothed_sigma_s
7.236,1.1890790420731907,6.953483212620837e+37,1.2001516557141851,-1.5051542044658916e+23,-1.628091083794798,-1.1195094675936492e+30,0,pressure_servo_20250708_145013.db3_export,0.05
7.286,1.18585436330937,6.953483212620837e+37,1.1995975172583917,-3.358452986905569e+22,-1.628028747175003,-2.5792091478040346e+17,0,pressure_servo_20250708_145013.db3_export,0.05
7.336,1.1822291955690838,3.2109890646191844e+37,1.1989936253117424,-2.7567860880857235e+21,-1.6279728098586514,-0.001285883120533,0,pressure_servo_20250708_145013.db3_export,0.05
7.386,1.1782847271644856,6.338489930724076e+36,1.1983455708007558,2.7759347040081685e+30,-1.6279186132595445,-7.645728953274616e+27,0,pressure_servo_20250708_145013.db3_export,0.05
7.436,1.1753518160454417,4.808263102277065e+35,1.1978628139684804,3.659374247089487e+31,-1.627877642398012,-1.0078977575171831e+29,0,pressure_servo_20250708_145013.db3_export,0.05
7.486,1.1737270198778378,3112065744835.791,1.1975950348957969,1.8537870721853656e+32,-1.62785469995782,-5.182324282359409e+29,0,pressure_servo_20250708_145013.db3_export,0.05
7.536,1.17272751313005,1.9783468491317703e+29,1.1974341813369906,-2.9363304556430766e+35,-1.6278434659573164,-1.1988332414106512e+30,0,pressure_servo_20250708_145013.db3_export,0.05
7.586,1.1722926998581644,2.410119854172454e+30,1.197377048033545,-3.581671933456321e+36,-1.627848111230107,-1.523131680629522e+30,0,pressure_servo_20250708_145013.db3_export,0.05
7.636,1.1724961161138812,1.0801407808649458e+31,1.197451750685642,-1.605355371981613e+37,-1.6278815381819844,-1.1988329285605688e+30,0,pressure_servo_20250708_145013.db3_export,0.05
7.686,1.173208717783197,1.780851080762682e+31,1.197639483919012,-2.6468104532266096e+37,-1.6279437483951906,-5.182322128024755e+29,0,pressure_servo_20250708_145013.db3_export,0.05
7.736,1.17407963114032,1.0801407808649458e+31,1.1978532914665083,-1.6053736322596834e+37,-1.628008184817187,-1.007897267851609e+29,0,pressure_servo_20250708_145013.db3_export,0.05
7.786,1.1749396778893662,2.410119854172454e+30,1.198047321347569,-3.5820733760434487e+36,-1.6280591377386882,-7.645724933854818e+27,0,pressure_servo_20250708_145013.db3_export,0.05
7.836,1.175937684953576,1.9783468491317703e+29,1.1982578342299834,-2.940344878553888e+35,-1.6281074128622914,-26827731.814613163,0,pressure_servo_20250708_145013.db3_export,0.05
7.886,1.1771150743486214,1.2443311295933707e-09,1.1984947484871356,3.5474715515885634e+27,-1.628155877677049,-26827731.157238923,0,pressure_servo_20250708_145013.db3_export,0.05
7.936,1.1788407435547563,2.694550326933897e-09,1.1988319652760004,1.590228130632568e+28,-1.62821945452386,-12388544.192604689,0,pressure_servo_20250708_145013.db3_export,0.05
7.986,1.180973762127365,2.694142891188124e-09,1.199246641098765,2.621853211379824e+28,-1.628296430704559,-2445493.6395323053,0,pressure_servo_20250708_145013.db3_export,0.05
