t_sec,data_0,data_1,data_2,imputed,trial_id,smoothed_sigma_s
7.736,438.1794567454857,951.1750236973104,380.10081099318086,0,pressure_servo_20250708_145013.db3_export,0.05
7.786,438.5,951.4685641605136,380.0314358394864,1,pressure_servo_20250708_145013.db3_export,0.05
7.836,438.82054325451423,951.6410865090284,380.09416142091806,0,pressure_servo_20250708_145013.db3_export,0.05
7.886,438.9685641605135,951.4685641605134,380.2971537592296,1,pressure_servo_20250708_145013.db3_export,0.05
7.936,438.9988917379562,951.1783484834418,380.68167326957325,0,pressure_servo_20250708_145013.db3_export,0.05
7.986,439.0157179197432,951.0471537592296,381.2657179197432,1,pressure_servo_20250708_145013.db3_export,0.05
8.036,439.0908366347867,951.0908366347866,381.90251379295046,0,pressure_servo_20250708_145013.db3_export,0.05
8.086,439.2657179197432,951.2342820802568,382.3585387223109,1,pressure_servo_20250708_145013.db3_export,0.05
8.136,439.5,951.3205432545142,382.2677656114876,0,pressure_servo_20250708_145013.db3_export,0.05
8.186,439.7342820802568,951.2342820802568,381.31138496308125,1,pressure_servo_20250708_145013.db3_export,0.05
8.236,439.9113798893009,951.0897283727428,379.6399782469847,0,pressure_servo_20250708_145013.db3_export,0.05
8.286,440.0157179197432,951.0314358394864,377.6100254382025,1,pressure_servo_20250708_145013.db3_export,0.05
8.336,440.1794567454857,951.088620110699,375.98701210017146,0,pressure_servo_20250708_145013.db3_export,0.05
8.386,440.5157179197432,951.2185641605134,375.3128716789728,1,pressure_servo_20250708_145013.db3_export,0.05
8.436,440.9135964133886,951.2319231438152,374.87965922510665,0,pressure_servo_20250708_145013.db3_export,0.05
8.486,441.2657179197433,951.0,373.9371283210271,1,pressure_servo_20250708_145013.db3_export,0.05
8.536,441.6772402213981,950.7658603320972,372.76586033209713,0,pressure_servo_20250708_145013.db3_export,0.05
8.586,442.2342820802568,950.75,371.8128716789729,1,pressure_servo_20250708_145013.db3_export,0.05
8.636,442.73192314381527,950.7352479299466,371.09194489683046,0,pressure_servo_20250708_145013.db3_export,0.05
8.686,442.9842820802568,950.5157179197432,370.4842820802568,1,pressure_servo_20250708_145013.db3_export,0.05
8.736,443.1783484834419,950.3578052289276,369.8194349924704,0,pressure_servo_20250708_145013.db3_export,0.05
8.786,443.5314358394864,950.5314358394864,368.9685641605135,1,pressure_servo_20250708_145013.db3_export,0.05
8.836,444.0,950.821651516558,368.00554131021903,0,pressure_servo_20250708_145013.db3_export,0.05
8.886,444.4685641605135,950.9528462407702,367.1100254382025,1,pressure_servo_20250708_145013.db3_export,0.05
8.936,444.8205432545143,950.9080551031692,366.6280986092,0,pressure_servo_20250708_145013.db3_export,0.05
8.986,445.0,950.7499999999998,366.75,1,pressure_servo_20250708_145013.db3_export,0.05
9.036,445.1794567454857,950.5886201106988,366.8696848667124,0,pressure_servo_20250708_145013.db3_export,0.05
9.086,445.5314358394864,950.5,366.358538722311,1,pressure_servo_20250708_145013.db3_export,0.05
9.136,446.0033247861314,950.4069468411255,365.31167715816383,0,pressure_servo_20250708_145013.db3_export,0.05
9.186,446.5157179197432,950.1871283210268,363.9842820802568,1,pressure_servo_20250708_145013.db3_export,0.05
9.236,447.088620110699,948.7688434277434,362.59637794500566,0,pressure_servo_20250708_145013.db3_export,0.05
9.286,447.7342820802568,935.3725635826236,361.3757433579458,1,pressure_servo_20250708_145013.db3_export,0.05
9.336,448.3238680406456,870.1787799844743,360.7754974610269,0,pressure_servo_20250708_145013.db3_export,0.05
9.386,448.7814358394865,726.8504691877899,362.57476540610577,1,pressure_servo_20250708_145013.db3_export,0.05
9.436,449.35669696688376,567.8314823354962,372.3013827702308,0,pressure_servo_20250708_145013.db3_export,0.05
9.486,450.25,460.5016930594304,393.8502543820261,1,pressure_servo_20250708_145013.db3_export,0.05
9.536,451.1399782469848,404.2005117323839,419.5527486166611,0,pressure_servo_20250708_145013.db3_export,0.05
9.586,451.6714104012839,381.946684571441,440.3623629149215,1,pressure_servo_20250708_145013.db3_export,0.05
9.636,451.9047303170381,376.51262468559656,453.141124320236,0,pressure_servo_20250708_145013.db3_export,0.05
9.686,451.9842820802568,375.3600254382025,457.8256161669328,1,pressure_servo_20250708_145013.db3_export,0.05
9.736,451.99889173795617,374.91802946156383,460.7777281434418,0,pressure_servo_20250708_145013.db3_export,0.05
9.786,452.00000000000006,374.4842820802568,467.5643583948644,1,pressure_servo_20250708_145013.db3_export,0.05
9.836,452.00000000000006,374.0,475.46918404353136,0,pressure_servo_20250708_145013.db3_export,0.05
9.886,452.00000000000006,373.5157179197432,480.6841548892439,1,pressure_servo_20250708_145013.db3_export,0.05
9.936,452.00110826204383,373.09194489683046,483.78507886911234,0,pressure_servo_20250708_145013.db3_export,0.05
9.986,452.0157179197433,372.7814358394865,486.2814358394865,1,pressure_servo_20250708_145013.db3_export,0.05
10.036,452.08972837274285,372.59194489683046,488.8167995333066,0,pressure_servo_20250708_145013.db3_export,0.05
10.086,452.25,372.5157179197432,491.1841548892439,1,pressure_servo_20250708_145013.db3_export,0.05
10.136,452.41137988930086,372.5,491.4064320421105,0,pressure_servo_20250708_145013.db3_export,0.05
